gene,mean_abs_shap
G1451,0.0071731815
G6917,0.007160361
G2799,0.0071511925
G6258,0.00714558
G6165,0.0071331775
G4517,0.0070725926
G578,0.0070642484
G7033,0.007045768
G2745,0.0070256977
G1160,0.007010238
G5500,0.0069966353
G1268,0.006981723
G4204,0.006968641
G557,0.0069656745
G3465,0.0069527463
G4695,0.006934685
G6061,0.006932486
G6145,0.0069231256
G6710,0.006903497
G2189,0.0069034672
G207,0.006881366
G55,0.006870934
G5900,0.0068503357
G5678,0.0068415264
G5300,0.0067856438
G4904,0.006783028
G1362,0.0067750327
G3883,0.006767326
G6352,0.006751849
G1925,0.0067449785
G6949,0.006740088
G6791,0.006729886
G3085,0.0067260102
G884,0.0067005693
G7598,0.0066891075
G6686,0.006654422
G505,0.0066407113
G2034,0.006639599
G1928,0.0066395737
G5650,0.0066116937
G1516,0.0065830005
G1462,0.0065689282
G2259,0.006568688
G7415,0.006542924
G6400,0.0065427525
G6709,0.006510915
G420,0.0064988164
G307,0.006497563
G6932,0.0064974083
G5237,0.0064737843
G1957,0.006468753
G1068,0.006414546
G7052,0.0064059137
G6673,0.0063740723
G6697,0.0063727796
G153,0.0063695004
G389,0.006360215
G3365,0.0063212784
G5136,0.006297624
G1103,0.0062755025
G3968,0.00626192
G6420,0.006253904
G2092,0.006250873
G3473,0.0062350514
G3647,0.006197489
G74,0.006182739
G4488,0.0061732475
G7226,0.006159986
G7950,0.0061598937
G3803,0.006150839
G447,0.0061414437
G335,0.00611659
G7299,0.0061110603
G7925,0.006106467
G1728,0.0060750237
G2087,0.006059455
G4650,0.0060310243
G4944,0.006026052
G6817,0.006009616
G7447,0.006007373
G2793,0.006003474
G2914,0.005987199
G430,0.005976977
G2302,0.0059646848
G4471,0.005960052
G5662,0.005954962
G6446,0.005946587
G1377,0.005915632
G256,0.0058582714
G1498,0.0058535594
G4681,0.0058522252
G2998,0.005845654
G7776,0.005839492
G7661,0.005838208
G5871,0.0058338074
G6998,0.005826119
G5118,0.0058228644
G41,0.0058048433
G3836,0.0057532876
G843,0.005751594
G4211,0.0057431487
G404,0.0057425024
G2847,0.00573692
G3463,0.005688241
G194,0.005682845
G2509,0.0056719845
G2927,0.005669873
G1833,0.005649087
G56,0.0056474875
G2151,0.0056446753
G310,0.0056299497
G7681,0.0056242845
G2126,0.005624073
G6089,0.0056204684
G7042,0.0056130625
G3304,0.005601722
G4302,0.005584684
G5831,0.005573244
G4482,0.0055727176
G346,0.005569099
G7224,0.0055344077
G1458,0.005527333
G4516,0.005513832
G3812,0.005471505
G1281,0.0054684915
G1789,0.0054412885
G93,0.0054390547
G5314,0.0054377154
G6796,0.0054363986
G4962,0.005426171
G166,0.0054253824
G7504,0.0054216483
G1506,0.0053952024
G7113,0.0053789495
G6305,0.0053737555
G1988,0.005332242
G669,0.0053116605
G1287,0.0052936105
G2519,0.0052932356
G7524,0.0052747186
G2135,0.0052468614
G5536,0.0052350215
G4078,0.0052336934
G727,0.005232999
G7263,0.0052200602
G3419,0.005219084
G7441,0.005204812
G4344,0.0051964847
G7670,0.0051941965
G1862,0.005161115
G3999,0.0051552826
G7318,0.0051249485
G5513,0.0051032365
G4803,0.0050961957
G1487,0.005024507
G231,0.005015442
G7532,0.004997927
G6084,0.0049974704
G6533,0.004978762
G5754,0.0049517127
G7533,0.004949753
G6298,0.004947263
G1875,0.004926849
G3668,0.004911765
G4995,0.004910148
G4946,0.004898218
G1954,0.0048877285
G784,0.0048807664
G3538,0.004871802
G1483,0.004869598
G2466,0.004848059
G5974,0.004839503
G5615,0.004795145
G110,0.004748939
G3871,0.0047153244
G3966,0.0047074207
G3016,0.0047020474
G1773,0.004677952
G1970,0.0046409117
G6235,0.004610909
G5214,0.0046068425
G6445,0.004604875
G2228,0.0046005407
G4966,0.0045984876
G150,0.0045906305
G7743,0.004575395
G3189,0.0045621684
G1585,0.004511413
G4858,0.0044911173
G46,0.004481727
G7984,0.004476997
G5155,0.0044638747
G2706,0.0044628466
G6137,0.004410912
G6208,0.0044048326
G5486,0.004391296
G3821,0.0043859123
G235,0.00436449
G84,0.0043471786
G2441,0.0043382007
G7456,0.004324982
G5679,0.0042658923
G853,0.004231766
G2689,0.0042182687
G2369,0.004216019
G5997,0.004202927
G1947,0.0041909246
G2058,0.0041874135
G1016,0.004182023
G6454,0.004171771
G7759,0.004145337
G6131,0.0041431217
G2808,0.0041394955
G7801,0.0041231997
G2152,0.004122471
G3651,0.0041029975
G4603,0.0040925317
G6000,0.0040896484
G133,0.004086391
